title,total_prep_time,servings,ingredients,directions,rating,nutrition
Apple-Cranberry Crostada,1 hrs 30 mins,8,"3 tablespoons butter, 2 pounds Granny Smith apples (or other firm, crisp apples), peeled, quartered, cored and sliced 1/4-inch thick, 1 pound Macintosh apples (or other soft-textured apples that fall apart when cooked), peeled, quartered, cored, and sliced 1/4-inch thick, ½ cup sugar, ½ cup dried cranberries, 1 sheet frozen puff pastry, thawed but still cold (follow package directions), 1  egg white, lightly beaten, 1 tablespoon sugar, 1 cup Optional: Ice cream or lightly sweetened whipped cream","Heat butter in a large skillet over medium-high heat. Add apples, 1/2 cup sugar and cranberries; cover and cook until apples release their liquid, about 5 minutes. Remove lid and continue to cook, stirring frequently, until soft apples fall apart and juices thicken to a thin-syrup consistency, about 5 minutes longer. Pour onto a large-lipped cookie sheet or jellyroll pan and cool to room temperature. (Can be refrigerated in an airtight container up to 5 days.)
Adjust oven rack to low position and heat oven to 400 degrees. Open puff pastry sheet on a lightly floured work surface. Roll into a rectangle, about 10 by 16 inches. Transfer to a large cookie sheet. (I suggest lining the sheet with parchment paper; this ensures the crostada doesn't stick and allows easy cleanup.)
Spread cooked apples over pastry, leaving a 2-inch border. Fold up pastry borders over apples. Unfold corners and form ruffled creases to keep dough from overlapping. Brush pastry border with egg white and sprinkle with the remaining 1 Tb. sugar. Bake until pastry is golden brown, 25 to 30 minutes. Serve warm or at room temperature with optional ice cream or whipped cream.",4.4,"Total Fat 18g 23%, Saturated Fat 7g 34%, Cholesterol 19mg 6%, Sodium 128mg 6%, Total Carbohydrate 60g 22%, Dietary Fiber 5g 16%, Total Sugars 40g, Protein 4g, Vitamin C 8mg 42%, Calcium 35mg 3%, Iron 1mg 6%, Potassium 245mg 5%"
Apple Pie by Grandma Ople,1 hrs 30 mins,8,"8 small Granny Smith apples, or as needed, ½ cup unsalted butter, 3 tablespoons all-purpose flour, ½ cup white sugar, ½ cup packed brown sugar, ¼ cup water, 1 (9 inch) double-crust pie pastry, thawed","Peel and core apples, then thinly slice. Set aside.
Preheat the oven to 425 degrees F (220 degrees C).
Melt butter in a saucepan over medium heat. Add flour and stir to form a paste; cook until fragrant, about 1 to 2 minutes. Add both sugars and water; bring to a boil. Reduce the heat to low and simmer for 3 to 5 minutes. Remove from the heat.
Press one pastry into the bottom and up the sides of a 9-inch pie pan. Roll out remaining pastry so it will overhang the pie by about 1/2 inch. Cut pastry into eight 1-inch strips.
Place sliced apples into the bottom crust, forming a slight mound. Lay four pastry strips vertically and evenly spaced over apples, using longer strips in the center and shorter strips at the edges.
Make a lattice crust: Fold the first and third strips all the way back so they're almost falling off the pie. Lay one of the unused strips perpendicularly over the second and fourth strips, then unfold the first and third strips back into their original position.
Fold the second and fourth vertical strips back. Lay one of the three unused strips perpendicularly over top. Unfold the second and fourth strips back into their original position.
Repeat Steps 6 and 7 to weave in the last two strips of pastry. Fold and trim excess dough at the edges as necessary, and pinch to secure.
Slowly and gently pour sugar-butter mixture over lattice crust, making sure it seeps over sliced apples. Brush some onto lattice, but make sure it doesn't run off the sides.
Bake in the preheated oven for 15 minutes. Reduce the temperature to 350 degrees F (175 degrees C) and continue baking until apples are soft, 35 to 45 minutes.











Natalie T
",4.8,"Total Fat 19g 24%, Saturated Fat 9g 46%, Cholesterol 31mg 10%, Sodium 124mg 5%, Total Carbohydrate 52g 19%, Dietary Fiber 3g 10%, Protein 2g, Vitamin C 5mg 27%, Calcium 23mg 2%, Iron 1mg 6%, Potassium 156mg 3%"
Sarah's Homemade Applesauce,25 mins,4,"4  apples - peeled, cored and chopped, ¾ cup water, ¼ cup white sugar, ½ teaspoon ground cinnamon","Combine apples, water, sugar, and cinnamon in a saucepan; cover and cook over medium heat until apples are soft, about 15 to 20 minutes.
Allow apple mixture to cool, then mash with a fork or potato masher until it is the consistency you like.











Photo by cookin'mama.
cookin mama
",4.8,"Total Fat 0g 0%, Sodium 3mg 0%, Total Carbohydrate 32g 12%, Dietary Fiber 4g 13%, Total Sugars 27g, Protein 0g, Vitamin C 6mg 32%, Calcium 13mg 1%, Iron 0mg 1%, Potassium 150mg 3%"
Apple Crisp,1 hrs 15 mins,12,"10 cups all-purpose apples, peeled, cored and sliced, 1 cup white sugar, 1 tablespoon all-purpose flour, 1 teaspoon ground cinnamon, ½ cup water, 1 cup quick-cooking oats, 1 cup all-purpose flour, 1 cup packed brown sugar, ¼ teaspoon baking powder, ¼ teaspoon baking soda, ½ cup butter, melted","Preheat the oven to 350 degrees F (175 degrees C).
Place sliced apples in a 9x13-inch baking dish. Mix white sugar, 1 tablespoon flour, and cinnamon together; sprinkle over apples. Pour water evenly over apples.
Combine oats, 1 cup flour, brown sugar, baking powder, and baking soda in a large bowl. Add melted butter and mix with a fork until crumbly; sprinkle evenly over apple mixture.
Bake in the preheated oven until top is golden brown and apples are bubbling around the edges, about 45 minutes.











Dotdash Meredith Food Studios
",4.7,"Total Fat 8g 11%, Saturated Fat 5g 25%, Cholesterol 20mg 7%, Sodium 98mg 4%, Total Carbohydrate 61g 22%, Dietary Fiber 3g 12%, Total Sugars 44g, Protein 2g, Vitamin C 4mg 21%, Calcium 36mg 3%, Iron 1mg 6%, Potassium 162mg 3%"
Apple Pie Filling,2 hrs 40 mins,40,"18 cups thinly sliced apples, 3 tablespoons lemon juice, 10 cups water, 4 ½ cups white sugar, 1 cup cornstarch, 2 teaspoons ground cinnamon, 1 teaspoon salt, ¼ teaspoon ground nutmeg","Toss apples with lemon juice in a large bowl and set aside.
Pour water into a Dutch oven over medium heat. Combine sugar, cornstarch, cinnamon, salt, and nutmeg in a bowl; add to water, stir well, and bring to a boil. Boil for 2 minutes, stirring constantly.
Add apples and return to a boil. Reduce heat, cover, and simmer until apples are tender, 6 to 8 minutes. Cool for 30 minutes.
Ladle into 5 freezer containers, leaving 1/2 inch of headspace. Cool at room temperature no longer than 1 1/2 hours.
Seal and freeze. Can be stored for up to 12 months.











Dotdash Meredith Food Studios
",4.7,"Total Fat 0g 0%, Sodium 61mg 3%, Total Carbohydrate 33g 12%, Dietary Fiber 1g 5%, Total Sugars 28g, Protein 0g, Vitamin C 3mg 16%, Calcium 7mg 1%, Iron 0mg 1%, Potassium 63mg 1%"
Easy Apple Crisp with Oat Topping,1 hrs,4,"6  apples - peeled, cored, and sliced, 2 tablespoons white sugar, 1 ½ teaspoons ground cinnamon, divided, 1 cup brown sugar, ¾ cup old-fashioned oats, ¾ cup all-purpose flour, ½ cup cold butter","Preheat the oven to 350 degrees F (175 degrees C).
Toss apples with white sugar and 1/2 teaspoon cinnamon in a medium bowl to coat; pour into a 9-inch square baking dish.
Mix brown sugar, oats, flour, and 1 teaspoon cinnamon in a separate bowl. Cut in cold butter with 2 knives or a pastry blender until the mixture resembles coarse crumbs; spread over apples and pat down gently until even.
Bake in the preheated oven until golden brown and sides are bubbling, about 40 minutes.









",4.7,"Total Fat 25g 32%, Saturated Fat 15g 74%, Cholesterol 61mg 20%, Sodium 177mg 8%, Total Carbohydrate 99g 36%, Dietary Fiber 8g 27%, Total Sugars 63g, Protein 5g, Vitamin C 10mg 48%, Calcium 69mg 5%, Iron 2mg 13%, Potassium 360mg 8%"
Easy Apple Cider,1 hrs 10 mins,8,"1 (64 fluid ounce) bottle apple cider, 3  cinnamon sticks, 1 teaspoon whole allspice, 1 teaspoon whole cloves, ⅓ cup brown sugar","Combine apple cider and cinnamon sticks in a slow cooker.
Place allspice and cloves onto the center of an 8-inch square piece of cheesecloth. Gather edges of the cheesecloth together and tie to secure; place in the slow cooker. Stir in brown sugar. Cook on High until it comes to a boil. Reduce heat to Low and keep warm.",4.6,"Total Fat 0g 0%, Sodium 31mg 1%, Total Carbohydrate 43g 16%, Dietary Fiber 1g 3%, Total Sugars 38g, Protein 0g, Vitamin C 0mg 1%, Calcium 23mg 2%, Iron 0mg 1%, Potassium 20mg 0%"
Apple-Cranberry Crisp,1 hrs 5 mins,8,"2 pounds Granny Smith apples - peeled, cored and thinly sliced, ¾ cup cranberries, ¼ cup white sugar, 1 tablespoon ground cinnamon, 1 teaspoon ground nutmeg","Preheat the oven to 375 degrees F (190 degrees C.) Butter an 8-inch square baking dish.
Mix apples, cranberries, white sugar, cinnamon, and nutmeg in a large bowl. Place in an even layer in the prepared baking dish.
In the same bowl, combine oats, flour, and brown sugar for topping. Add butter pieces and mix with a fork until crumbly. Stir in pecans. Sprinkle topping over apples in the baking dish.
Bake in the preheated oven until apples are tender and topping is golden brown, 40 to 50 minutes.",4.6,"Total Fat 12g 15%, Saturated Fat 4g 22%, Cholesterol 15mg 5%, Sodium 47mg 2%, Total Carbohydrate 43g 16%, Dietary Fiber 4g 16%, Total Sugars 32g, Protein 2g, Vitamin C 7mg 36%, Calcium 37mg 3%, Iron 1mg 6%, Potassium 207mg 4%"
Old-Fashioned Apple Dumplings,1 hrs 30 mins,6,"1 recipe pastry for double-crust pie, 6 large Granny Smith apples, peeled and cored, ½ cup butter, ¾ cup brown sugar, 1 teaspoon ground cinnamon, ½ teaspoon ground nutmeg, 3 cups water, 2 cups white sugar, 1 teaspoon vanilla extract","Preheat the oven to 400 degrees F (200 degrees C). Butter a 9x13-inch pan.
Roll pastry into a 24x16-inch rectangle on a lightly floured surface. Cut into six 8-inch squares. Place an apple on each pastry square with the cored opening facing upward. Cut butter into 8 pieces; place 1 piece in the opening of each apple; reserve the remaining butter for sauce.
Divide brown sugar between apples, poking some inside each cored opening and the rest around the base of each apple. Sprinkle cinnamon and nutmeg over apples.
Using slightly wet fingertips, bring one corner of the pastry square up to the top of the apple, then bring the opposite corner to the top and press together. Bring up the two remaining corners, and seal. Slightly pinch the dough at the sides to completely seal in the apple. Repeat with the remaining apples and place in the prepared baking dish.
Combine water, white sugar, vanilla extract, and reserved butter in a large saucepan. Place over medium heat, and bring to a boil. Reduce the heat to low and simmer until sugar is dissolved, about 5 minutes. Carefully pour the sauce over the dumplings.
Bake in the preheated oven for 50 to 60 minutes. Place each apple dumpling in a dessert bowl, and spoon some of the sauce over the top.",4.7,"Total Fat 35g 45%, Saturated Fat 15g 74%, Cholesterol 41mg 14%, Sodium 434mg 19%, Total Carbohydrate 148g 54%, Dietary Fiber 7g 23%, Total Sugars 115g, Protein 5g, Vitamin C 11mg 53%, Calcium 52mg 4%, Iron 2mg 13%, Potassium 319mg 7%"
Southern Fried Apples,20 mins,4,"½ cup butter, ½ cup white sugar, 2 tablespoons ground cinnamon, 4  Granny Smith apples - peeled, cored, and sliced","Melt butter in a large skillet over medium heat. Add sugar and cinnamon; stir until sugar dissolves.
Add apples and cook until softened, 5 to 8 minutes.











Melissa Goff
",4.6,"Total Fat 23g 30%, Saturated Fat 15g 73%, Cholesterol 61mg 20%, Sodium 165mg 7%, Total Carbohydrate 45g 16%, Dietary Fiber 5g 16%, Total Sugars 39g, Protein 1g, Vitamin C 7mg 35%, Calcium 49mg 4%, Iron 1mg 3%, Potassium 174mg 4%"
